Time,ActiveNode,ToActivate
0,4092,4092
30000,4172,80
60000,4252,80
90000,4334,82
120000,4417,83
150000,4501,84
180000,4587,86
210000,4673,86
240000,4761,88
270000,4850,89
300000,4941,91
330000,5032,91
360000,5125,93
390000,5219,94
420000,5314,95
450000,5410,96
480000,5508,98
510000,5606,98
540000,5705,99
570000,5806,101
600000,5907,101
630000,6010,103
660000,6113,103
690000,6217,104
720000,6323,106
750000,6429,106
780000,6536,107
810000,6643,107
840000,6752,109
870000,6861,109
900000,6971,110
930000,7082,111
960000,7193,111
990000,7305,112
1020000,7417,112
1050000,7530,113
1080000,7643,113
1110000,7757,114
1140000,7871,114
1170000,7985,114
1200000,8100,115
1230000,8215,115
1260000,8330,115
1290000,8445,115
1320000,8560,115
1350000,8675,115
1380000,8791,116
1410000,8906,115
1440000,9021,115
1470000,9135,114
1500000,9250,115
1530000,9364,114
1560000,9477,113
1590000,9591,114
1620000,9704,113
1650000,9816,112
1680000,9927,111
1710000,10038,111
1740000,10149,111
1770000,10258,109
1800000,10367,109
1830000,10474,107
1860000,10581,107
1890000,10687,106
1920000,10791,104
1950000,10895,104
1980000,10997,102
2010000,11098,101
2040000,11197,99
2070000,11296,99
2100000,11392,96
2130000,11488,96
2160000,11581,93
2190000,11673,92
2220000,11764,91
2250000,11852,88
2280000,11939,87
2310000,12024,85
2340000,12107,83
2370000,12189,82
2400000,12268,79
2430000,12345,77
2460000,12420,75
2490000,12493,73
2520000,12563,70
2550000,12632,69
2580000,12698,66
2610000,12762,64
2640000,12823,61
2670000,12883,60
2700000,12939,56
2730000,12993,54
2760000,13045,52
2790000,13094,49
2820000,13141,47
2850000,13185,44
2880000,13226,41
2910000,13265,39
2940000,13301,36
2970000,13334,33
3000000,13365,31
3030000,13393,28
3060000,13418,25
3090000,13441,23
3120000,13461,20
3150000,13478,17
3180000,13492,14
3210000,13503,11
3240000,13512,9
3270000,13518,6
3300000,13521,3
3330000,13522,1
3360000,13519,-3
3390000,13514,-5
3420000,13507,-7
3450000,13497,-10
3480000,13484,-13
3510000,13468,-16
3540000,13450,-18
3570000,13429,-21
3600000,13406,-23
3630000,13380,-26
3660000,13352,-28
3690000,13322,-30
3720000,13289,-33
3750000,13253,-36
3780000,13216,-37
3810000,13176,-40
3840000,13135,-41
3870000,13091,-44
3900000,13045,-46
3930000,12997,-48
3960000,12948,-49
3990000,12897,-51
4020000,12844,-53
4050000,12789,-55
4080000,12733,-56
4110000,12675,-58
4140000,12616,-59
4170000,12556,-60
4200000,12495,-61
4230000,12433,-62
4260000,12370,-63
4290000,12306,-64
4320000,12241,-65
4350000,12176,-65
4380000,12110,-66
4410000,12044,-66
4440000,11978,-66
4470000,11911,-67
4500000,11845,-66
4530000,11779,-66
4560000,11713,-66
4590000,11648,-65
4620000,11583,-65
4650000,11519,-64
4680000,11456,-63
4710000,11394,-62
4740000,11334,-60
4770000,11274,-60
4800000,11217,-57
4830000,11161,-56
4860000,11106,-55
4890000,11054,-52
4920000,11004,-50
4950000,10957,-47
4980000,10911,-46
5010000,10869,-42
5040000,10830,-39
5070000,10793,-37
5100000,10760,-33
5130000,10730,-30
5160000,10703,-27
5190000,10681,-22
5220000,10662,-19
5250000,10647,-15
5280000,10637,-10
5310000,10631,-6
5340000,10629,-2
5370000,10632,3
5400000,10640,8
5430000,10653,13
5460000,10671,18
5490000,10694,23
5520000,10723,29
5550000,10757,34
5580000,10797,40
5610000,10842,45
5640000,10894,52
5670000,10952,58
5700000,11015,63
5730000,11085,70
5760000,11161,76
5790000,11244,83
5820000,11333,89
5850000,11428,95
5880000,11530,102
5910000,11639,109
5940000,11754,115
5970000,11875,121
6000000,12004,129
6030000,12139,135
6060000,12280,141
6090000,12428,148
6120000,12582,154
6150000,12743,161
6180000,12911,168
6210000,13084,173
